Spectrum,Nutrient,Concentration,Intensity,File
1216.0621,Solution-Glutamine,0.02,25.6857027523,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1217.9832,Solution-Glutamine,0.02,2.6209351710,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1219.9036,Solution-Glutamine,0.02,0.0000000000,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1221.8232,Solution-Glutamine,0.02,11.4053705542,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1223.7421,Solution-Glutamine,0.02,4.9270786205,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1225.6603,Solution-Glutamine,0.02,0.0000000000,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1227.5777,Solution-Glutamine,0.02,25.8931888909,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1229.4945,Solution-Glutamine,0.02,30.4655560866,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1231.4104,Solution-Glutamine,0.02,4.9430544953,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1233.3257,Solution-Glutamine,0.02,0.0000000000,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1235.2402,Solution-Glutamine,0.02,96.2511585340,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1237.154,Solution-Glutamine,0.02,19.9302380236,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1239.0671,Solution-Glutamine,0.02,94.0872299053,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1240.9794,Solution-Glutamine,0.02,99.7326352815,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1242.891,Solution-Glutamine,0.02,189.3331503552,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1244.8019,Solution-Glutamine,0.02,173.1961857315,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1246.7121,Solution-Glutamine,0.02,193.4137089852,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1248.6215,Solution-Glutamine,0.02,184.9230895161,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1250.5302,Solution-Glutamine,0.02,217.0395801620,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1252.4381,Solution-Glutamine,0.02,232.1819873151,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1254.3454,Solution-Glutamine,0.02,105.6917485936,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1256.2519,Solution-Glutamine,0.02,148.9344663795,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1258.1576,Solution-Glutamine,0.02,183.9623801550,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
